ID,Year,Jaccard_B,Horn_B,Chao_B,Pearson_B
46,1962,0.583783784,0.877328155,0.840659299,0.775297988
46,1963,0.566666667,0.900006238,0.868145613,0.795629897
46,1964,0.537234043,0.856876311,0.88385929,0.80517302
46,1965,0.477477477,0.79142365,0.846435503,0.745429637
46,1966,0.434262948,0.724760018,0.842808892,0.739582078
46,1967,0.457142857,0.765014668,0.784041523,0.714923207
46,1968,0.427480916,0.734151744,0.750917628,0.680851418
46,1969,0.399280576,0.687686213,0.688641478,0.619057234
46,1970,0.423487544,0.676062018,0.70133541,0.607731602
46,1971,0.422939068,0.702723585,0.641630291,0.581176091
46,1972,0.409893993,0.665512286,0.615719044,0.545459528
46,1973,0.366883117,0.620279154,0.543365574,0.508733156
46,1974,0.333333333,0.551172631,0.495909778,0.49394208
46,1975,0.322289157,0.497832597,0.465252446,0.478274761
46,1976,0.334384858,0.542600981,0.473647385,0.476267393
46,1977,0.344512195,0.528991663,0.474286388,0.498740172
46,1978,0.301829268,0.495717413,0.445502367,0.479997401
46,1979,0.306501548,0.525450106,0.441645311,0.446236617
47,1953,0.808403361,0.982109618,0.994454713,0.962216086
47,1954,0.629032258,0.889608047,1,0.927869323
47,1955,0.702898551,0.972011124,0.995061728,0.910076087
47,1956,0.624624625,0.894405537,0.996343693,0.935243714
47,1957,0.731316726,0.953304989,1,0.982723252
47,1958,0.666666667,0.931520602,1,0.968252275
47,1959,0.388785047,0.893867483,1,0.881218637
47,1960,0.314018692,0.815534361,0.993430129,0.893223079
47,1961,0.248598131,0.865286367,0.955140187,0.855032589
47,1962,0.192523364,0.809269591,1,0.857959245
47,1963,0.251865672,0.97884884,0.992647059,0.863647152
47,1964,0.538602941,0.938904917,0.996688742,0.89652686
47,1965,0.236940299,0.957372515,1,0.796321106
47,1966,0.197761194,0.966195687,0.970472097,0.803319837
47,1967,0.205607477,0.945383986,0.996210705,0.93068397
47,1968,0.285213854,0.83237924,0.988295082,0.797562556
47,1969,0.218474299,0.764064099,0.961518805,0.6912368
47,1970,0.388694571,0.818341805,0.96400579,0.720406398
47,1971,0.349348465,0.85381374,0.986539589,0.857468875
47,1972,0.378530958,0.833615075,0.981424433,0.809873871
47,1973,0.446196462,0.843513008,0.986028982,0.853192792
47,1974,0.414792511,0.783957895,0.955691729,0.668430434
47,1975,0.470385205,0.830773185,0.963369882,0.741411145
47,1976,0.538730184,0.843854602,0.981779315,0.806167876
47,1977,0.425925926,0.946051696,0.96446212,0.828671979
51,1965,0.882352941,0.996513977,1,0.993516813
51,1966,0.75,0.997561667,1,0.993127912
51,1967,0.731707317,0.996126104,1,0.989660441
51,1968,0.892307692,0.992080033,1,0.978060152
51,1969,0.903225806,0.995367261,1,0.988115809
51,1970,0.868852459,0.993748313,1,0.982841295
51,1971,0.838709677,0.987479806,1,0.963737439
51,1972,0.875,0.988171065,1,0.962203981
51,1973,0.826086957,0.979759721,1,0.947398713
51,1974,0.873015873,0.986746957,1,0.954092876
51,1975,0.783333333,0.980200256,1,0.94394924
51,1976,0.5,0.96797153,1,0.902740188
51,1977,0.5,0.985611511,1,0.956807634
52,1969,0.35273054,0.793046477,0.973839558,0.500525394
52,1970,0.406660133,0.700744852,0.966593464,0.394378592
52,1971,0.537792775,0.861966409,0.989580813,0.504670248
52,1972,0.564466006,0.882585761,0.940304948,0.614471144
52,1973,0.38579358,0.873401916,0.978035782,0.548247024
52,1974,0.351600493,0.881291759,0.9834626,0.517819046
