"","STUDY_ID","LATITUDE","LONGITUDE"
"137",2.17,"-0.82502778","-52.65305556"
"138",2.17,"-0.826277022","-52.71230733"
"139",2.17,"-0.835803116","-53.04731033"
"140",2.17,"-0.839783364","-52.57292345"
"141",2.17,"-0.855854322","-52.74089726"
"142",2.17,"-0.859544658","-52.67986038"
"143",2.17,"-0.88880556","-52.51472222"
"144",2.17,"-0.897417436","-52.78306439"
"145",2.17,"-0.907329151","-52.77211472"
"146",2.17,"-0.949441179","-52.87085754"
"147",2.17,"-0.959669948","-52.8853138"
"148",2.17,"-0.963190445","-52.56398344"
"149",2.17,"-0.975484226","-52.80203314"
"150",2.17,"-1.028615864","-52.90119353"
"151",2.17,"-1.031981189","-52.89597348"
"152",2.17,"-0.878911868","-52.84506826"
"153",2.18,"18.41666667","-95"
"154",2.18,"18.43333333","-95.01666667"
"155",2.18,"18.43333333","-95.4"
"156",2.18,"18.45","-95.03333333"
"157",2.18,"18.46666667","-95.06666667"
"158",2.18,"18.48333333","-95.1"
"159",2.18,"18.48333333","-95.15"
"160",2.18,"18.58333333","-95.06666667"
"161",2.19,"34.44317","-2.03771"
"162",2.19,"32.49803","-1.87541"
"163",2.19,"32.83676","-2.06539"
"164",2.19,"32.85788","-2.06149"
"165",2.19,"33.26954","-1.98332"
"166",2.19,"33.78164","-1.99615"
"167",2.19,"33.79516","-1.99353"
"168",2.19,"34.14451","-2.0568"
"169",2.19,"34.15661","-2.05754"
"170",2.19,"35.0826","-2.27282"
"171",2.19,"35.08605","-2.28714"
"172",2.19,"34.88659","-2.00943"
"173",2.19,"34.89106","-2.01928"
"174",2.19,"34.45488","-2.03989"
"175",2.19,"32.14916","-1.26801"
"176",2.19,"32.15348","-1.29467"
"177",2.19,"32.20064","-1.66292"
"178",2.19,"32.21061","-1.68693"
"179",2.19,"32.5057","-1.89055"
"180",2.19,"33.28416","-1.97771"
"181",2.2,"10.1453833333333","-0.802983333333333"
"182",2.2,"9.68985","-0.691333333333333"
"183",2.2,"9.83235","-0.8657"
"184",2.2,"9.13891666666667","-1.82808333333333"
"185",2.2,"9.37583333333333","-0.5834"
"186",2.2,"9.59293333333333","-0.790716666666667"
"187",2.21,"-12.7221471730312","45.1126953804889"
"188",2.21,"-12.7399659086611","45.1415065853803"
"189",2.21,"-12.7442706670969","45.1408456953427"
"190",2.21,"-12.7584759580052","45.1249431739053"
"191",2.21,"-12.7612504335772","45.1458760695146"
"192",2.21,"-12.7651037543882","45.1056452564601"
"193",2.21,"-12.7701920111369","45.1126033009918"
"194",2.21,"-12.7724809951784","45.1098956223907"
"195",2.21,"-12.7746304680627","45.1162629515781"
"196",2.21,"-12.7778456994244","45.1042501062742"
"197",2.21,"-12.7894526971165","45.1919337647366"
"198",2.21,"-12.7894758611602","45.2201556974637"
"199",2.21,"-12.7944948957365","45.1404063493715"
"200",2.21,"-12.7960024105583","45.200434075431"
"201",2.21,"-12.7986158450297","45.188079960104"
"202",2.21,"-12.8009723836434","45.1160262217777"
"203",2.21,"-12.804970815732","45.1642101806023"
"204",2.21,"-12.8066287606743","45.1990418733345"
"205",2.21,"-12.8347594811192","45.1287867214434"
"206",2.21,"-12.8404939197681","45.1736645421907"
"207",2.21,"-12.8840502313801","45.1318342053812"
"208",2.21,"-12.9541765562253","45.1130357233693"
"209",2.21,"-12.9681061514198","45.1578806872087"
"210",2.21,"-20.8877824386515","55.5036923300429"
"211",2.21,"-20.9087272322498","55.4327576909906"
"212",2.21,"-20.9193143817805","55.6101324807777"
"213",2.21,"-20.9303340290754","55.6413608350747"
"214",2.21,"-20.9304069000926","55.5062942817592"
"215",2.21,"-20.9423442873628","55.6453124722635"
"216",2.21,"-20.9505346200071","55.5826533053896"
"217",2.21,"-20.9722751964409","55.3411102919457"
"218",2.21,"-20.9811406622697","55.6840124682065"
"219",2.21,"-20.9831786449313","55.6342003514031"
"220",2.21,"-20.998568010908","55.3812713552229"
"221",2.21,"-21.0008367046889","55.5765147173788"
"222",2.21,"-21.0033759637507","55.679726094523"
"223",2.21,"-21.0061516532176","55.6928971158331"
"224",2.21,"-21.0066406994664","55.6536548210717"
"225",2.21,"-21.0116060774706","55.393077610104"
"226",2.21,"-21.0155646719748","55.542760275866"
"227",2.21,"-21.0161011764781","55.6746323122375"
"228",2.21,"-21.0256798907913","55.6115906300484"
"229",2.21,"-21.0342694197769","55.5370939941614"
"230",2.21,"-21.0382657108679","55.4920191612668"
"231",2.21,"-21.0401165364493","55.6843832206173"
"232",2.21,"-21.0417929977401","55.7121899248466"
"233",2.21,"-21.0494499007976","55.2369228104454"
"234",2.21,"-21.0554808469629","55.5009482274516"
"235",2.21,"-21.0964969958189","55.6230006191913"
"236",2.21,"-21.1209546902438","55.7505299677846"
"237",2.21,"-21.1855008521244","55.5303077366544"
"238",2.21,"-21.1905770689517","55.4493979249036"
"239",2.21,"-21.2280905855719","55.499305025355"
"240",2.21,"-21.2801162871821","55.4617301420019"
"241",2.21,"-21.2941913630418","55.4171095409546"
"242",2.21,"-21.3341051663696","55.6419395227093"
"243",2.21,"-21.3643294690804","55.6473546153922"
"244",2.21,"-21.3705170198582","55.6195791501791"
"245",2.21,"-21.3852795256","55.6442001479898"
"246",2.22,"51.3078593869475","4.52004022166339"
"247",2.22,"51.3076518806664","4.51956876216278"
"248",2.22,"51.3077384409295","4.51999997578876"
"249",2.22,"51.3078655787304","4.51975349813625"
"250",2.23,"50.9754191","3.80433183"
"251",2.23,"50.975351","3.80463085"
"252",2.23,"50.9753304","3.80434999"
"253",2.23,"50.9755282","3.80460224"
"254",2.24,"50.7462018895896","4.41339687048418"
"255",2.24,"50.7462314879096","4.41317698106289"
"256",2.24,"50.7461003248717","4.41297331755252"
"257",2.24,"50.7456819982454","4.41340990150249"
"258",2.24,"4.41340990150249","50.7456819982454"
"259",2.25,"40.5706277777778","0.654258333333333"
"260",2.26,"6.2","-0.2167"
"261",2.27,"6.2","-0.2167"
"262",2.28,"44.776569","142.093903"
"263",2.28,"44.779833","142.122011"
"264",2.28,"44.780481","142.126953"
"265",2.28,"44.781575","142.132286"
"266",2.28,"44.784522","142.139225"
"267",2.28,"44.801022","142.081558"
"268",2.28,"44.799089","142.093186"
"269",2.28,"44.758108","142.185122"
"270",2.28,"44.735022","142.20715"
"271",2.28,"44.778392","142.242628"
"272",2.29,"50.964926","5.626886"
"273",2.3,"50.964926","5.626886"
"274",2.31,"51.8547222222222","10.4125"
"275",2.31,"51.86","10.4175"
"276",2.31,"51.8563888888889","10.4130555555556"
"277",2.32,"52.44","13.65"
"278",2.33,"52.44","13.65"
"279",2.34,"50.037406","9.428786"
"280",2.34,"50.160917","9.318498"
"281",2.34,"50.186885820206","9.1003676428064"
"282",2.35,"-28.00761667","-49.37613889"
"283",2.35,"-27.10055556","-48.89111111"
"284",2.35,"-27.09916667","-48.89666667"
"285",2.35,"-27.91102515","-49.87868541"
"286",2.35,"-27.90250873","-49.7842611"
"287",2.35,"-27.89962307","-49.78952438"
"288",2.35,"-27.8975","-48.84583333"
"289",2.35,"-27.89666667","-48.84916667"
"290",2.35,"-27.43583333","-48.85944444"
"291",2.35,"-27.47555556","-48.87861111"
"292",2.35,"-27.88833333","-48.85444444"
"293",2.35,"-27.87222222","-48.84638889"
"294",2.35,"-27.74444444","-48.80416667"
"295",2.35,"-27.74027778","-48.80638889"
"296",2.35,"-27.43111111","-48.90277778"
"297",2.35,"-27.46555556","-48.88222222"
"298",2.35,"-27.73777778","-48.80611111"
"299",2.35,"-27.39638889","-48.81777778"
"300",2.35,"-27.74138889","-48.805"
"301",2.35,"-27.88722222","-48.86055556"
"302",2.35,"-27.89916667","-48.84"
"303",2.35,"-27.74222222","-48.80416667"
"304",2.35,"-27.89111111","-48.86055556"
"305",2.35,"-27.89027778","-48.86027778"
"306",2.35,"-27.88416667","-48.86222222"
"307",2.35,"-27.43583333","-48.84888889"
"308",2.35,"-27.44333333","-48.87861111"
"309",2.35,"-27.45472222","-48.88277778"
"310",2.35,"-27.45611111","-48.88361111"
"311",2.35,"-27.43166667","-48.84944444"
"312",2.35,"-27.90277778","-48.87694444"
"313",2.35,"-27.44333333","-48.89388889"
"314",2.35,"-26.45083333","-52.56694444"
"315",2.35,"-28.01073056","-49.37441111"
"316",2.35,"-27.10111111","-48.89166667"
"317",2.35,"-27.09583333","-48.87583333"
"318",2.35,"-27.10333333","-48.88055556"
"319",2.35,"-27.09694444","-48.89666667"
"320",2.35,"-27.095","-48.88472222"
"321",2.35,"-27.1025","-48.89611111"
"322",2.35,"-27.10083333","-48.88111111"
"323",2.35,"-27.09861111","-48.89194444"
"324",2.35,"-27.10333333","-48.89611111"
"325",2.35,"-27.10027778","-48.89972222"
"326",2.35,"-27.10388889","-48.88444444"
"327",2.35,"-27.09972222","-48.89138889"
"328",2.35,"-27.10138889","-48.89888889"
"329",2.35,"-27.68555556","-49.16805556"
"330",2.35,"-27.68527778","-49.16888889"
"331",2.35,"-27.68444444","-49.16972222"
"332",2.35,"-27.92194934","-49.86654377"
"333",2.35,"-27.43222222","-48.8625"
"334",2.35,"-27.42916667","-48.87083333"
"335",2.35,"-27.46","-48.86055556"
"336",2.35,"-27.45638889","-48.87027778"
"337",2.35,"-27.45277778","-48.88611111"
"338",2.35,"-26.46888889","-52.57194444"
"339",2.35,"-26.46277778","-52.58305556"
"340",2.35,"-26.45694444","-52.56638889"
"341",2.35,"-27.90553765","-49.8760727"
